Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime|Target|StartDate|EndDate|TotalTime
IU|INCN|10|HHZ|37.47768|126.624359|52.5|2.5|0.0|-90.0|Streckeisen STS-2 High-gain|33697699800.0|0.02|M/S|100.0|2013-11-21T00:00:00|2599-12-31T23:59:59|IU.INCN.10.HHZ.M|2013-11-21|2018-10-12|154310400.0
IU|JOHN|10|HHZ|16.732901000000002|-169.52920500000005|2.5|0.0|0.0|-90.0|Trillium 240 broad band|1980160000.0|0.02|M/S|100.0|2010-08-09T00:00:00|2010-11-06T06:10:00|IU.JOHN.10.HHZ.M|2010-08-09|2010-11-07|7711800.000000001
IU|JOHN|10|HHZ|16.732901000000002|-169.52920500000005|2.5|0.0|0.0|-90.0|Trillium 240 broad band|1980160000.0|0.02|M/S|100.0|2010-11-06T06:10:00|2599-12-31T23:59:59|IU.JOHN.10.HHZ.M|2010-11-06|2018-10-12|250278600.00000003
IU|KBS|10|HHZ|78.915398|11.9385|87.0|3.0|0.0|-90.0|Streckeisen STS-2 Standard-gain|2447790080.0|0.02|M/S|100.0|2010-06-08T00:00:00|2011-01-20T07:38:59|IU.KBS.10.HHZ.M|2010-06-08|2011-01-21|19553939.0
IU|KBS|10|HHZ|78.915398|11.9385|87.0|3.0|0.0|-90.0|Streckeisen STS-2 Standard-gain|2447790080.0|0.02|M/S|100.0|2011-01-20T07:38:59|2599-12-31T23:59:59|IU.KBS.10.HHZ.M|2011-01-20|2018-10-12|243793261.00000003
IU|KEV|10|HHZ|69.7565|27.0035|85.0|15.0|0.0|-90.0|Guralp CMG3-T Seismometer|33460400100.0|0.1|M/S|100.0|2009-12-09T15:40:00|2011-09-19T06:00:00|IU.KEV.10.HHZ.M|2009-12-09|2011-09-20|56038800.0
IU|KEV|10|HHZ|69.7565|27.0035|85.0|15.0|0.0|-90.0|Guralp CMG3-T Seismometer|34037600300.0|0.1|M/S|100.0|2011-09-19T06:00:00|2012-06-18T18:00:00|IU.KEV.10.HHZ.M|2011-09-19|2012-06-19|23630400.0
IU|KEV|10|HHZ|69.7565|27.0035|85.0|15.0|0.0|-90.0|Streckeisen STS-2 Standard-gain|2462889980.0|0.02|M/S|100.0|2012-06-18T18:00:00|2599-12-31T23:59:59|IU.KEV.10.HHZ.M|2012-06-18|2018-10-12|199260000.0
IU|KIEV|10|HHZ|50.701199|29.224199|180.0|0.0|0.0|-90.0|Streckeisen STS-2.5|2447790080.0|0.02|M/S|100.0|2017-11-07T00:00:00|2599-12-31T23:59:59|IU.KIEV.10.HHZ.M|2017-11-07|2018-10-12|29289600.0
IU|KIP|00|HHZ|21.42|-158.0112|77.0|33.0|0.0|-90.0|Streckeisen STS-6A VBB Seismometer|1983069950.0|0.02|M/S|100.0|2018-06-29T02:00:00|2599-12-31T23:59:59|IU.KIP.00.HHZ.M|2018-06-29|2018-10-12|9064800.0
IU|KIP|10|HHZ|21.42|-158.0112|77.0|33.0|0.0|-90.0|Streckeisen STS-2 Standard-gain|2497200130.0|0.02|M/S|100.0|2010-08-18T00:00:00|2011-11-12T06:49:00|IU.KIP.10.HHZ.M|2010-08-18|2011-11-13|38990940.0
IU|KIP|10|HHZ|21.42|-158.0112|77.0|33.0|0.0|-90.0|Streckeisen STS-2 Standard-gain|2497200130.0|0.02|M/S|100.0|2011-11-12T06:49:00|2012-03-22T03:00:00|IU.KIP.10.HHZ.M|2011-11-12|2012-03-23|11304660.0
IU|KIP|10|HHZ|21.42|-158.0112|77.0|33.0|0.0|-90.0|Streckeisen STS-2.5|2447790080.0|0.02|M/S|100.0|2012-03-22T03:00:00|2599-12-31T23:59:59|IU.KIP.10.HHZ.M|2012-03-22|2018-10-12|206917200.0
IU|KMBO|10|HHZ|-1.1271|37.252499|1930.0|20.0|0.0|-90.0|Streckeisen STS-2 High-gain|32628299800.0|0.02|M/S|100.0|2010-04-15T00:00:00|2014-05-14T00:00:00|IU.KMBO.10.HHZ.M|2010-04-15|2014-05-14|128736000.00000001
IU|KMBO|10|HHZ|-1.1271|37.252499|1930.0|20.0|0.0|-90.0|Streckeisen STS-2 High-gain|32628299800.0|0.02|M/S|100.0|2014-05-14T00:00:00|2015-09-22T10:30:00|IU.KMBO.10.HHZ.M|2014-05-14|2015-09-23|42892200.0
IU|KMBO|10|HHZ|-1.1271|37.252499|1940.0|10.0|0.0|-90.0|T120 post hole, quiet|1974680060.0|0.02|M/S|100.0|2015-09-22T10:30:00|2599-12-31T23:59:59|IU.KMBO.10.HHZ.M|2015-09-22|2018-10-12|96384600.0
IU|KNTN|00|HHZ|-2.7744|-171.718597|18.0|2.0|0.0|-90.0|Streckeisen STS-2 Standard-gain|2516580100.0|0.02|M/S|100.0|2007-12-04T00:00:00|2009-05-11T00:00:00|IU.KNTN.00.HHZ.M|2007-12-04|2009-05-11|45273600.0
IU|KNTN|00|HHZ|-2.7744|-171.718597|18.0|2.0|0.0|-90.0|Streckeisen STS-2 Standard-gain|2516580100.0|0.02|M/S|100.0|2009-05-11T00:00:00|2011-04-25T15:00:00|IU.KNTN.00.HHZ.M|2009-05-11|2011-04-26|61743600.00000001
IU|KNTN|00|HHZ|-2.7744|-171.718597|18.0|2.0|0.0|-90.0|Streckeisen STS-2 Standard-gain|1258290050.0|0.02|M/S|100.0|2011-04-25T15:00:00|2016-01-18T06:30:00|IU.KNTN.00.HHZ.M|2011-04-25|2016-01-19|149355000.0
IU|KONO|10|HHZ|59.649101|9.5982|-124.0|340.0|0.0|-90.0|Guralp CMG3-T Seismometer|34123499500.0|0.02|M/S|100.0|2009-09-12T15:02:42|2011-01-11T07:58:00|IU.KONO.10.HHZ.M|2009-09-12|2011-01-12|41964918.0
IU|KONO|10|HHZ|59.649101|9.5982|-124.0|340.0|0.0|-90.0|Guralp CMG3-T Seismometer|34123499500.0|0.02|M/S|100.0|2011-01-11T07:58:00|2015-10-01T12:00:00|IU.KONO.10.HHZ.M|2011-01-11|2015-10-02|148968120.0
IU|KONO|10|HHZ|59.649101|9.5982|-124.0|340.0|0.0|-90.0|Streckeisen STS-2 High-gain|32628299800.0|0.02|M/S|100.0|2015-10-01T12:00:00|2599-12-31T23:59:59|IU.KONO.10.HHZ.M|2015-10-01|2018-10-12|95601600.0
IU|KOWA|00|HHZ|14.4967|-4.013999999999999|316.3|5.0|0.0|-90.0|Trillium 240 broad band|1983069950.0|0.02|M/S|100.0|2015-07-24T17:33:33|2016-02-01T19:00:00|IU.KOWA.00.HHZ.M|2015-07-24|2016-02-02|16593987.000000002
IU|LCO|10|HHZ|-29.011|-70.7005|2274.0|0.0|0.0|-90.0|Trillium 240 broad band|1983069950.0|0.02|M/S|100.0|2014-08-04T00:00:00|2599-12-31T23:59:59|IU.LCO.10.HHZ.M|2014-08-04|2018-10-12|132192000.00000001
IU|LSZ|10|HHZ|-15.2779|28.1882|1200.0|0.0|0.0|-90.0|Streckeisen STS-2 High-gain|32628299800.0|0.02|M/S|100.0|2008-09-08T00:00:00|2009-12-09T17:00:00|IU.LSZ.10.HHZ.M|2008-09-08|2009-12-10|39546000.0
IU|LSZ|10|HHZ|-15.2779|28.1882|1200.0|0.0|0.0|-90.0|Streckeisen STS-2 High-gain|32628299800.0|0.02|M/S|100.0|2009-12-09T17:00:00|2010-12-17T13:00:00|IU.LSZ.10.HHZ.M|2009-12-09|2010-12-18|32212800.000000004
IU|LSZ|10|HHZ|-15.2779|28.1882|1200.0|0.0|0.0|-90.0|Streckeisen STS-2 High-gain|32628299800.0|0.02|M/S|100.0|2010-12-17T13:00:00|2599-12-31T23:59:59|IU.LSZ.10.HHZ.M|2010-12-17|2018-10-12|246711600.00000003
IU|LVC|10|HHZ|-22.6127|-68.911102|2930.0|30.0|0.0|-90.0|Guralp CMG3-T Seismometer|33500700700.0|0.02|M/S|100.0|2009-04-10T00:00:00|2011-01-08T08:50:00|IU.LVC.10.HHZ.M|2009-04-10|2011-01-09|55155000.0
IU|LVC|10|HHZ|-22.6127|-68.911102|2930.0|30.0|0.0|-90.0|Guralp CMG3-T Seismometer|33500700700.0|0.02|M/S|100.0|2011-01-08T08:50:00|2012-09-24T12:00:00|IU.LVC.10.HHZ.M|2011-01-08|2012-09-25|54011400.0
IU|LVC|10|HHZ|-22.6127|-68.911102|2930.0|30.0|0.0|-90.0|Streckeisen STS-2.5|2506510080.0|0.02|M/S|100.0|2012-09-24T12:00:00|2599-12-31T23:59:59|IU.LVC.10.HHZ.M|2012-09-24|2018-10-12|190814400.0
IU|MACI||HHZ|28.2502|-16.5082|1674.0|0.0|0.0|-90.0|Streckeisen STS-2/VBB Seismometer|3353999870.0|0.02|M/S|100.0|2008-08-01T00:00:00|2599-12-31T23:59:59|IU.MACI..HHZ.M|2008-08-01|2018-10-12|321753600.0
IU|MAJO|10|HHZ|36.54567|138.204056|405.0|0.0|0.0|-90.0|Streckeisen STS-2 High-gain|33833699300.0|0.02|M/S|100.0|2009-11-07T12:00:00|2011-01-22T08:40:59|IU.MAJO.10.HHZ.M|2009-11-07|2011-01-23|38090459.0
IU|MAJO|10|HHZ|36.54567|138.204056|405.0|0.0|0.0|-90.0|Streckeisen STS-2 High-gain|33833699300.0|0.02|M/S|100.0|2011-01-22T08:40:59|2015-07-25T02:30:00|IU.MAJO.10.HHZ.M|2011-01-22|2015-07-26|142105741.0
IU|MAJO|10|HHZ|36.54567|138.204056|405.0|0.0|0.0|-90.0|Streckeisen STS-2 High-gain|32628299800.0|0.02|M/S|100.0|2015-07-25T02:30:00|2599-12-31T23:59:59|IU.MAJO.10.HHZ.M|2015-07-25|2018-10-12|101511000.0
IU|MAKZ|00|HHZ|46.807999|81.976997|600.0|0.0|0.0|-90.0|Streckeisen STS-2 Standard-gain|2447790080.0|0.02|M/S|100.0|2010-09-10T00:00:00|2012-03-19T20:22:59|IU.MAKZ.00.HHZ.M|2010-09-10|2012-03-20|48111779.0
IU|MAKZ|00|HHZ|46.807999|81.976997|600.0|0.0|0.0|-90.0|Streckeisen STS-2 Standard-gain|2447790080.0|0.02|M/S|100.0|2012-03-19T20:22:59|2016-12-13T05:00:00|IU.MAKZ.00.HHZ.M|2012-03-19|2016-12-14|149416621.0
IU|MAKZ|00|HHZ|46.807999|81.976997|600.0|0.0|0.0|-90.0|Streckeisen STS-2 Standard-gain|2447790080.0|0.02|M/S|100.0|2016-12-13T05:00:00|2599-12-31T23:59:59|IU.MAKZ.00.HHZ.M|2016-12-13|2018-10-12|57697200.0
IU|MBWA|00|HHZ|-21.159000000000002|119.7313|182.0|8.0|0.0|-90.0|T120 post hole, quiet|1974680060.0|0.02|M/S|100.0|2016-01-24T10:20:00|2018-09-23T00:00:00|IU.MBWA.00.HHZ.M|2016-01-24|2018-09-23|84030000.0
IU|MBWA|00|HHZ|-21.159000000000002|119.7313|93.0|97.0|0.0|-90.0|Streckeisen STS-6A VBB Seismometer|1984739970.0|0.02|M/S|100.0|2018-09-23T00:00:00|2599-12-31T23:59:59|IU.MBWA.00.HHZ.M|2018-09-23|2018-10-12|1641600.0
IU|MBWA|10|HHZ|-21.159000000000002|119.7313|181.0|9.0|0.0|-90.0|Guralp CMG3-T Seismometer (borehole)|33614800900.0|0.02|M/S|100.0|2011-05-09T07:00:00|2016-01-25T08:00:00|IU.MBWA.10.HHZ.M|2011-05-09|2016-01-26|148784400.0
IU|MBWA|10|HHZ|-21.159000000000002|119.7313|190.0|0.0|0.0|-90.0|Streckeisen STS-2.5|2447790080.0|0.02|M/S|100.0|2016-01-25T08:00:00|2018-09-23T00:00:00|IU.MBWA.10.HHZ.M|2016-01-25|2018-09-23|83952000.0
IU|MBWA|10|HHZ|-21.159000000000002|119.7313|172.0|18.0|0.0|-90.0|T120 post hole, quiet|1974680060.0|0.02|M/S|100.0|2018-09-23T00:00:00|2599-12-31T23:59:59|IU.MBWA.10.HHZ.M|2018-09-23|2018-10-12|1641600.0
IU|MIDW|00|HHZ|28.215599|-177.369797|19.0|1.0|0.0|-90.0|Streckeisen STS-2 High-gain|33554399200.0|0.02|M/S|100.0|2013-07-28T03:00:00|2599-12-31T23:59:59|IU.MIDW.00.HHZ.M|2013-07-28|2018-10-12|164322000.0
IU|NWAO|00|HHZ|-32.9277|117.238998|278.1|102.0|0.0|-90.0|Streckeisen STS-6A VBB Seismometer|1984739970.0|0.02|M/S|100.0|2018-09-15T00:00:00|2599-12-31T23:59:59|IU.NWAO.00.HHZ.M|2018-09-15|2018-10-12|2332800.0
IU|NWAO|10|HHZ|-32.9277|117.238998|380.1|0.0|0.0|-90.0|Streckeisen STS-2 Standard-gain|2447790080.0|0.02|M/S|100.0|2011-04-30T02:00:00|2016-01-18T02:00:00|IU.NWAO.10.HHZ.M|2011-04-30|2016-01-19|148953600.0
IU|NWAO|10|HHZ|-32.9277|117.238998|380.1|0.0|0.0|-90.0|Streckeisen STS-2 Standard-gain|2447790080.0|0.02|M/S|100.0|2016-01-18T02:00:00|2599-12-31T23:59:59|IU.NWAO.10.HHZ.M|2016-01-18|2018-10-12|86220000.0
