Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime|Target|StartDate|EndDate|TotalTime
TA|121A||BHZ|32.532398|-107.785103|1652.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co|627192000.0|0.2|M/S|40.0|2016-06-28T18:26:00|2016-12-06T00:00:00|TA.121A..BHZ.M|2016-06-28|2016-12-06|13844040.0
TA|121A||BHZ|32.532398|-107.785103|1652.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co|627192000.0|0.2|M/S|40.0|2016-12-06T00:00:00|2599-12-31T23:59:59|TA.121A..BHZ.M|2016-12-06|2018-10-12|58320000.0
TA|121A||HHZ|32.532398|-107.785103|1652.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co|627603970.0|0.4|M/S|100.0|2015-10-16T18:00:00|2016-06-28T18:26:00|TA.121A..HHZ.M|2015-10-16|2016-06-29|22119960.0
TA|121A||HHZ|32.532398|-107.785103|1652.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co|627603970.0|0.4|M/S|100.0|2016-06-28T18:26:00|2016-12-06T00:00:00|TA.121A..HHZ.M|2016-06-28|2016-12-06|13844040.0
TA|121A||HHZ|32.532398|-107.785103|1652.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co|627603970.0|0.4|M/S|100.0|2016-12-06T00:00:00|2599-12-31T23:59:59|TA.121A..HHZ.M|2016-12-06|2018-10-12|58320000.0
TA|122A||BHZ|32.699501|-107.000504|1333.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co|627192000.0|0.2|M/S|40.0|2008-02-01T00:00:00|2009-12-09T17:15:00|TA.122A..BHZ.M|2008-02-01|2009-12-10|58554900.0
TA|123A||BHZ|32.634899|-106.262199|1206.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co|627192000.0|0.2|M/S|40.0|2008-05-14T00:00:00|2010-01-19T16:40:00|TA.123A..BHZ.M|2008-05-14|2010-01-20|53196000.0
TA|124A||BHZ|32.7001|-105.454399|2078.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co|627192000.0|0.2|M/S|40.0|2008-02-27T00:00:00|2010-01-18T19:45:00|TA.124A..BHZ.M|2008-02-27|2010-01-19|59773500.0
TA|125A||BHZ|32.658798|-104.657303|1212.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co|627192000.0|0.2|M/S|40.0|2008-03-13T00:00:00|2010-02-18T20:00:00|TA.125A..BHZ.M|2008-03-13|2010-02-19|61156800.00000001
TA|126A||BHZ|32.646198|-104.020401|1032.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Co|627192000.0|0.2|M/S|40.0|2008-03-15T00:00:00|2010-02-16T17:50:00|TA.126A..BHZ.M|2008-03-15|2010-02-17|60803400.00000001
