Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime|Target|StartDate|EndDate|TotalTime
2C|IP18||HHZ|-84.46869699999998|-158.369995|115.0|0.0|0.0|-90.0|Guralp CMG40T/Reftek 130 Datalogger|509222016.0|1.0|M/S|200.0|2010-12-01T01:01:43|2011-02-05T23:59:59|2C.IP18..HHZ.M|2010-12-01|2011-02-06|5785096.0
2C|IP19||HHZ|-84.18229699999998|-159.467407|122.0|0.0|0.0|-90.0|Guralp CMG40T/Reftek 130 Datalogger|509222016.0|1.0|M/S|200.0|2010-12-01T01:01:44|2011-02-05T23:59:59|2C.IP19..HHZ.M|2010-12-01|2011-02-06|5785095.0
2C|IP20||HHZ|-84.130997|-160.324005|114.0|0.0|0.0|-90.0|Guralp CMG40T/Reftek 130 Datalogger|509222016.0|1.0|M/S|200.0|2010-12-01T01:01:45|2011-02-05T23:59:59|2C.IP20..HHZ.M|2010-12-01|2011-02-06|5785094.0
2C|IP21||HHZ|-83.75140400000002|-160.458694|95.0|0.0|0.0|-90.0|Guralp CMG40T/Reftek 130 Datalogger|509222016.0|1.0|M/S|200.0|2010-12-01T01:01:46|2011-02-05T23:59:59|2C.IP21..HHZ.M|2010-12-01|2011-02-06|5785093.0
2C|S002||CHZ|-84.40619699999998|-155.2883|150.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|754451010.0|0.9|M/S|500.0|2011-12-01T00:00:00|2011-12-28T23:59:59|2C.S002..CHZ.M|2011-12-01|2011-12-29|2419199.0
2C|S008||CHZ|-84.46880300000002|-159.356506|110.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|754451010.0|0.9|M/S|500.0|2011-12-01T00:00:00|2011-12-28T23:59:59|2C.S008..CHZ.M|2011-12-01|2011-12-29|2419199.0
2C|S010||CHZ|-84.6343|-160.480499|100.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec Response/Reftek 130 D|754451010.0|0.9|M/S|500.0|2011-12-01T00:00:00|2011-12-28T23:59:59|2C.S010..CHZ.M|2011-12-01|2011-12-29|2419199.0
2C|TAS1||EHZ|-43.6483|170.191895|801.0|0.0|0.0|-90.0|Mark Products L28/Reftek 130 Datalogger|602382980.0|10.0|M/S|250.0|2016-04-21T00:00:00|2016-08-20T23:59:59|2C.TAS1..EHZ.M|2016-04-21|2016-08-21|10540799.0
2C|TAS2||EHZ|-43.632198|170.194595|855.0|0.0|0.0|-90.0|Mark Products L28/Reftek 130 Datalogger|602382980.0|10.0|M/S|250.0|2016-04-21T00:00:00|2016-08-20T23:59:59|2C.TAS2..EHZ.M|2016-04-21|2016-08-21|10540799.0
2C|TAS3||EHZ|-43.642601|170.1987|821.0|0.0|0.0|-90.0|Mark Products L28/Reftek 130 Datalogger|602382980.0|10.0|M/S|250.0|2016-04-21T00:00:00|2016-08-20T23:59:59|2C.TAS3..EHZ.M|2016-04-21|2016-08-21|10540799.0
